Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,industries,status
0,0,0,0,car,completed
1,1,1,1,vehicle,open
2,2,2,2,mobility,open
3,3,3,3,auto,open
4,4,4,4,electricity,open
5,5,5,5,finance,open
6,6,6,6,industry,open
7,7,7,7,logistics,open
8,8,8,8,transport,open
9,9,9,9,freight,open
10,10,10,10,container,open
11,11,11,11,shipping,open
12,12,12,12,supply chain,open
13,13,13,13,fashion,open
14,14,14,14,manufacturing,open
15,15,15,15,sustainability,open
16,16,16,16,building,open
17,17,17,17,oil,open
18,18,18,18,gas,open
19,19,19,19,commodities,open
20,20,20,20,resouces,open
21,21,21,21,gold,open
22,22,22,22,copper,open
23,23,23,23,fees,open
24,24,24,24,interests,open
25,25,25,25,returns,open
26,26,26,26,asset transfers,open
27,27,27,27,shares,open
28,28,28,28,bonds,open
29,29,29,29,investments,open
30,30,30,30,shareholders,open
31,31,31,31,investors,open
32,32,32,32,voting,open
33,33,33,33,election,open
34,34,34,34,taxes,open
35,35,35,35,compliance,open
36,36,36,36,aide,open
37,37,37,37,charity,open
38,38,38,38,gaming,open
39,39,39,39,nft,open
40,40,40,40,assets,open
41,41,41,41,fashion,open
